id,child,trial,age,year_group,competition_order,age_group,country,gender,cost,competition,relation,fairness,allocation,justification
U4094,198,1,62,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
U4095,199,1,62,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4096,200,1,62,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,Fair,Desire
U4097,201,1,52,Jonior,control first,Younger,UK,Male,Cost,Competition,Friend,Unfair,Fair,Desire
U4098,202,1,63,Jonior,control first,Older,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4099,203,1,56,Jonior,control first,Younger,UK,Female,Cost,Competition,Friend,Unfair,UFad,Desire
U4100,204,1,63,Jonior,control first,Older,UK,Male,Cost,Competition,Friend,Unfair,UFad,Desire
C2E01,1,2,54,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Unfair,UFdis,Uncodable
C2E02,2,2,53,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2E03,3,2,51,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Unfair,UFad,Desire
C2E04,4,2,48,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2E05,5,2,53,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Unfair,UFad,Conduct
C2E06,6,2,52,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2E07,7,2,50,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2E08,8,2,48,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Conduct
C2E09,9,2,52,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2E10,10,2,53,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2E11,11,2,44,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2E12,12,2,47,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2E13,13,2,48,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Uncodable
C2E14,14,2,51,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2E15,15,2,49,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFad,Desire
C2E16,16,2,51,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Affiliation
C2E17,17,2,49,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFdis,Conduct
C2E18,18,2,48,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2E19,19,2,48,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFdis,Conduct
C2E20,20,2,52,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2E21,21,2,54,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Unfair,UFad,Affiliation
C2E22,22,2,53,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2E23,23,2,47,Jonior,competition first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Conduct
C2E24,24,2,60,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFdis,Norm
C2E25,25,2,50,Jonior,competition first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C01,26,2,50,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C02,27,2,53,Jonior,control first,Younger,CN,Female,NOcost,Competition,Friend,Fair,Fair,Norm
C2C03,28,2,53,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Fair,Fair,Norm
C2C04,29,2,52,Jonior,control first,Younger,CN,Male,NOcost,Competition,Friend,Unfair,UFad,Desire
